PROCNUM,ADJFACTOR,AGE2,RACE4,INCOME5,IRINSUR4,IRSEX,MALE,YOTMTHLP,WHITE,HISPB,NONE,SMHVST,YOUNG,VEREP,VESTR,adj_wt,rho1,id,one,r,s1,W1,Z_HAT,f_wt4
19,1.2945,1,4,2,1,1,1,4,0,1,0,1,1,01,30002,10829.070692,0.8455347349,78,1,0.0763557684,1,3188.8299327,1.5652010432,14017.900624
19,0.0000,3,1,4,1,2,0,3,1,0,0,,0,02,30007,1297.4843627,0.7502601056,79,1,0.8102684914,0,-1297.484363,2.7224619973,0
19,1.3517,6,4,2,1,1,1,3,0,1,0,4,0,02,30029,2327.5133103,0.6899744811,80,1,0.0305232015,1,818.49409819,1.7072059053,3146.0074085
19,1.3517,4,2,1,1,1,1,3,0,1,0,4,0,01,30020,1177.6258087,0.6899744811,81,1,0.5838526248,1,414.1242802,1.7072059053,1591.7500889
19,0.0000,4,3,1,1,2,0,2,0,0,0,,0,01,30014,206.89094422,0.8021838886,82,1,0.8602416016,0,-206.8909442,1.9173387801,0
19,1.3731,5,4,2,1,2,0,4,0,1,0,5,0,02,30021,3234.1621266,0.6224593312,83,1,0.0021919264,1,1206.6451435,2.2797087914,4440.8072702
19,1.3731,4,2,2,1,2,0,4,0,1,0,5,0,01,30032,959.58089041,0.6224593312,84,1,0.1214363007,1,358.01347487,2.2797087914,1317.5943653
19,0.0000,6,1,4,1,2,0,3,1,0,0,,0,01,30036,629.9473763,0.6899744811,85,1,0.815747965,0,-629.9473763,2.7224619973,0
19,1.3517,5,1,2,1,1,1,3,1,0,0,4,0,01,30051,137.03121758,0.6899744811,86,1,0.3866251341,1,48.188443159,2.3311441169,185.21966074
19,1.3315,3,1,2,1,1,1,4,1,0,0,3,0,01,30055,569.08711348,0.7502601056,87,1,0.1080165338,1,188.62868069,2.5123291226,757.71579416
