PROCNUM,ADJFACTOR,AGE2,RACE4,INCOME5,IRINSUR4,IRSEX,MALE,YOTMTHLP,WHITE,HISPB,NONE,SMHVST,YOUNG,VEREP,VESTR,adj_wt,p,r
17,1.0471,5,4,2,2,2,0,2,0,1,0,1,0,01,30014,3333.2394913,0.8455347349,1
17,1.1332,5,1,2,1,2,0,3,1,0,0,4,0,01,30025,1633.8524798,0.6899744811,1
17,1.1072,1,4,2,1,1,1,2,0,1,1,0,1,01,30051,5845.5398849,0.880797078,1
17,1.0304,5,2,1,1,1,1,2,0,1,1,0,0,02,30020,1876.6969259,0.880797078,1
17,1.1388,2,1,2,1,2,0,1,1,0,0,5,1,01,30049,928.12860056,0.6224593312,0
17,1.0442,5,1,3,1,2,0,5,1,0,0,5,0,01,30033,1148.1862957,0.6224593312,0
17,1.1072,1,1,2,1,1,1,2,1,0,0,3,1,01,30019,1496.5349127,0.7502601056,0
17,1.0644,6,2,3,1,2,0,3,0,1,1,0,0,02,30022,1360.3748614,0.880797078,1
17,1.0598,6,1,2,1,2,0,3,1,0,0,5,0,01,30031,607.65152485,0.6224593312,1
17,1.0855,4,1,2,1,2,0,4,1,0,1,0,0,01,30054,910.99342498,0.880797078,1
17,1.0466,6,1,4,1,2,0,4,1,0,0,5,0,02,30033,757.06695554,0.6224593312,0
17,1.0656,4,2,4,1,1,1,4,0,1,1,0,0,02,30010,1728.5262526,0.880797078,1
17,1.0259,4,1,2,1,1,1,5,1,0,0,3,0,01,30058,1167.2279562,0.7502601056,1
17,1.3101,2,4,2,1,2,0,3,0,1,1,0,1,01,30006,422.81148437,0.880797078,1
17,1.1495,2,3,3,1,2,0,1,0,0,0,3,1,01,30023,160.44937389,0.7502601056,1
17,1.0997,5,1,3,1,2,0,4,1,0,0,4,0,01,30011,299.16705758,0.6899744811,0
17,1.1653,2,1,4,1,1,1,4,1,0,0,3,1,01,30027,346.91005819,0.7502601056,1
17,1.0460,5,1,4,1,2,0,5,1,0,0,5,0,01,30050,1109.5813586,0.6224593312,0
17,1.0305,6,1,3,1,1,1,2,1,0,0,3,0,02,30033,525.59506011,0.7502601056,1
17,1.0319,6,1,4,1,1,1,4,1,0,0,4,0,02,30042,450.09136652,0.6899744811,0
17,1.1034,5,1,4,1,2,0,2,1,0,0,4,0,01,30051,1585.798183,0.6899744811,0
17,1.0596,5,1,2,1,2,0,1,1,0,1,0,0,01,30044,479.2743153,0.880797078,1
17,1.0596,3,1,2,1,2,0,4,1,0,0,5,0,02,30056,1720.5942889,0.6224593312,1
17,1.1435,5,1,3,1,2,0,3,1,0,1,0,0,01,30056,659.89728005,0.880797078,1
17,1.0337,1,2,1,1,2,0,5,0,1,1,0,1,01,30053,1168.2645499,0.880797078,1
17,1.0477,1,1,2,1,1,1,5,1,0,0,2,1,02,30037,3265.1024256,0.8021838886,1
17,1.0765,2,4,1,2,2,0,3,0,1,0,3,1,02,30048,135.35297715,0.7502601056,1
17,1.1039,5,1,4,1,2,0,4,1,0,0,5,0,01,30035,1343.9358695,0.6224593312,0
17,1.2441,1,1,3,1,2,0,3,1,0,0,3,1,01,30016,1675.879566,0.7502601056,1
17,1.2419,2,2,4,1,2,0,4,0,1,0,2,1,02,30052,376.73413204,0.8021838886,1
17,1.0414,6,3,2,1,2,0,2,0,0,1,0,0,02,30017,3082.3717005,0.880797078,1
17,1.0185,3,3,1,1,2,0,1,0,0,1,0,0,01,30038,629.84027149,0.880797078,0
17,1.0414,6,1,2,1,2,0,2,1,0,1,0,0,01,30006,312.34336137,0.880797078,1
